dx,dy,time,session_id,bot_type,user_id
-1.0,-3.0,8,07-03-2019_m3954172709_p2,human,lol_2
0.0,-2.0,264,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-2.0,328,07-03-2019_m3954172709_p2,human,lol_2
-4.0,0.0,336,07-03-2019_m3954172709_p2,human,lol_2
-3.0,-5.0,344,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-4.0,352,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-3.0,360,07-03-2019_m3954172709_p2,human,lol_2
-3.0,-7.0,368,07-03-2019_m3954172709_p2,human,lol_2
-4.0,-5.0,376,07-03-2019_m3954172709_p2,human,lol_2
-7.0,-7.0,384,07-03-2019_m3954172709_p2,human,lol_2
-3.0,-4.0,392,07-03-2019_m3954172709_p2,human,lol_2
-5.0,-5.0,400,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-2.0,408,07-03-2019_m3954172709_p2,human,lol_2
0.0,-2.0,416,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-3.0,424,07-03-2019_m3954172709_p2,human,lol_2
-3.0,-4.0,432,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-1.0,440,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-6.0,448,07-03-2019_m3954172709_p2,human,lol_2
-7.0,-5.0,456,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-3.0,464,07-03-2019_m3954172709_p2,human,lol_2
-5.0,-7.0,472,07-03-2019_m3954172709_p2,human,lol_2
-5.0,-6.0,480,07-03-2019_m3954172709_p2,human,lol_2
-9.0,-8.0,488,07-03-2019_m3954172709_p2,human,lol_2
-9.0,-6.0,496,07-03-2019_m3954172709_p2,human,lol_2
-5.0,-3.0,504,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-2.0,512,07-03-2019_m3954172709_p2,human,lol_2
-3.0,0.0,520,07-03-2019_m3954172709_p2,human,lol_2
-4.0,-3.0,528,07-03-2019_m3954172709_p2,human,lol_2
-1.0,-2.0,536,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-2.0,544,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-2.0,552,07-03-2019_m3954172709_p2,human,lol_2
-3.0,-3.0,568,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-2.0,576,07-03-2019_m3954172709_p2,human,lol_2
-2.0,-3.0,584,07-03-2019_m3954172709_p2,human,lol_2
0.0,-2.0,592,07-03-2019_m3954172709_p2,human,lol_2
0.0,-4.0,600,07-03-2019_m3954172709_p2,human,lol_2
-3.0,-3.0,608,07-03-2019_m3954172709_p2,human,lol_2
0.0,-2.0,616,07-03-2019_m3954172709_p2,human,lol_2
