dx,dy,time,session_id,bot_type,user_id
0.0,1.0,0.0,lol_stitch_0,stitch,-1
-1.0,1.0,13.0,lol_stitch_0,stitch,-1
0.0,1.0,99.0,lol_stitch_0,stitch,-1
0.0,0.0,107.0,lol_stitch_0,stitch,-1
0.0,-1.0,115.0,lol_stitch_0,stitch,-1
0.0,0.0,148.0,lol_stitch_0,stitch,-1
0.0,0.0,163.0,lol_stitch_0,stitch,-1
-1.0,0.0,169.0,lol_stitch_0,stitch,-1
0.0,0.0,171.0,lol_stitch_0,stitch,-1
0.0,0.0,173.0,lol_stitch_0,stitch,-1
0.0,1.0,177.0,lol_stitch_0,stitch,-1
-1.0,1.0,181.0,lol_stitch_0,stitch,-1
0.0,1.0,185.0,lol_stitch_0,stitch,-1
-1.0,0.0,190.0,lol_stitch_0,stitch,-1
0.0,1.0,292.0,lol_stitch_0,stitch,-1
0.0,1.0,319.0,lol_stitch_0,stitch,-1
0.0,1.0,325.0,lol_stitch_0,stitch,-1
0.0,1.0,328.0,lol_stitch_0,stitch,-1
0.0,1.0,330.0,lol_stitch_0,stitch,-1
-1.0,0.0,331.0,lol_stitch_0,stitch,-1
0.0,1.0,334.0,lol_stitch_0,stitch,-1
0.0,1.0,336.0,lol_stitch_0,stitch,-1
-1.0,0.0,339.0,lol_stitch_0,stitch,-1
0.0,1.0,341.0,lol_stitch_0,stitch,-1
-1.0,1.0,344.0,lol_stitch_0,stitch,-1
0.0,1.0,347.0,lol_stitch_0,stitch,-1
0.0,1.0,348.0,lol_stitch_0,stitch,-1
-1.0,0.0,351.0,lol_stitch_0,stitch,-1
0.0,1.0,354.0,lol_stitch_0,stitch,-1
0.0,1.0,357.0,lol_stitch_0,stitch,-1
0.0,1.0,358.0,lol_stitch_0,stitch,-1
-1.0,0.0,364.0,lol_stitch_0,stitch,-1
0.0,0.0,433.0,lol_stitch_0,stitch,-1
0.0,0.0,437.0,lol_stitch_0,stitch,-1
0.0,0.0,440.0,lol_stitch_0,stitch,-1
