dx,dy,time,session_id,bot_type,user_id
0,1,3883,0,human,3
-10,3,5126,0,human,3
-10,6,5151,0,human,3
-1,0,5201,0,human,3
1,1,5276,0,human,3
1,0,5300,0,human,3
0,1,5324,0,human,3
1,2,5348,0,human,3
4,5,5381,0,human,3
7,3,5407,0,human,3
3,3,5433,0,human,3
0,2,5459,0,human,3
0,3,5484,0,human,3
0,2,5510,0,human,3
0,4,5536,0,human,3
-4,7,5562,0,human,3
-1,8,5587,0,human,3
0,8,5613,0,human,3
0,4,5639,0,human,3
0,5,5666,0,human,3
1,2,5692,0,human,3
2,2,5719,0,human,3
2,2,5745,0,human,3
4,3,5771,0,human,3
1,1,5799,0,human,3
5,1,5825,0,human,3
1,1,5851,0,human,3
2,-3,6010,0,human,3
3,-4,6037,0,human,3
-1,0,6109,0,human,3
-1,2,6136,0,human,3
-1,5,6161,0,human,3
-1,4,6186,0,human,3
-1,4,6209,0,human,3
-3,7,6233,0,human,3
-2,2,6259,0,human,3
-1,0,6283,0,human,3
3,0,6435,0,human,3
2,0,6460,0,human,3
1,0,6484,0,human,3
2,0,6509,0,human,3
1,-1,6534,0,human,3
0,-2,6561,0,human,3
1,0,6687,0,human,3
0,-1,6713,0,human,3
0,-1,6738,0,human,3
-1,-2,6763,0,human,3
-2,-2,6789,0,human,3
-2,-2,6815,0,human,3
-2,-1,6842,0,human,3
-1,0,6868,0,human,3
-2,0,6900,0,human,3
-1,-1,6919,0,human,3
-1,0,6941,0,human,3
1,-3,6966,0,human,3
2,-6,6991,0,human,3
0,-3,7016,0,human,3
-3,-1,7041,0,human,3
-3,0,7067,0,human,3
-2,0,7093,0,human,3
1,0,7273,0,human,3
1,0,7323,0,human,3
0,1,7572,0,human,3
-2,1,7697,0,human,3
-2,0,7723,0,human,3
-2,0,7773,0,human,3
-1,0,7799,0,human,3
-2,-2,7824,0,human,3
-2,-7,7851,0,human,3
-10,-29,7892,0,human,3
-14,-14,7919,0,human,3
-6,-4,7944,0,human,3
-3,-1,7956,0,human,3
-10,-3,7981,0,human,3
-7,0,8007,0,human,3
0,-3,8105,0,human,3
4,-6,8130,0,human,3
3,-6,8154,0,human,3
1,-2,8177,0,human,3
0,-1,8201,0,human,3
1,0,8248,0,human,3
3,-2,8272,0,human,3
6,-2,8297,0,human,3
5,-3,8321,0,human,3
2,-4,8346,0,human,3
0,-4,8371,0,human,3
0,-4,8395,0,human,3
0,-2,8419,0,human,3
-1,-6,8445,0,human,3
-2,-2,8468,0,human,3
-1,0,8493,0,human,3
-2,0,8518,0,human,3
-2,0,8542,0,human,3
-2,0,8568,0,human,3
0,-1,8671,0,human,3
-7,-3,8698,0,human,3
-10,-6,8724,0,human,3
-1,0,8752,0,human,3
3,-1,8970,0,human,3
1,0,8995,0,human,3
2,0,9016,0,human,3
1,0,9086,0,human,3
2,0,9108,0,human,3
2,0,9131,0,human,3
2,0,9154,0,human,3
4,0,9177,0,human,3
1,0,9199,0,human,3
2,0,9222,0,human,3
1,0,9244,0,human,3
0,-1,9267,0,human,3
1,0,9288,0,human,3
1,-1,9331,0,human,3
0,-1,9354,0,human,3
0,-1,9375,0,human,3
0,-1,9396,0,human,3
0,-1,9460,0,human,3
-1,-1,9482,0,human,3
-3,-2,9503,0,human,3
-2,-2,9526,0,human,3
-1,-1,9548,0,human,3
0,-2,9571,0,human,3
0,-1,9594,0,human,3
1,2,9617,0,human,3
4,7,9640,0,human,3
